Date,Value
2018-10-25 22,41.0079996
2018-10-25 23,37.0539992
2018-10-26 00,31.59249925
2018-10-26 01,27.8139996
2018-10-26 02,23.573999
2018-10-26 03,24.744999
2018-10-26 04,22.961999600000002
2018-10-26 05,23.871999600000002
2018-10-26 06,23.8339994
2018-10-26 07,24.15749975
2018-10-26 08,25.4479994
2018-10-26 09,25.2739996
2018-10-26 10,26.08749925
2018-10-26 11,23.195999800000003
2018-10-26 12,25.7519992
2018-10-26 13,28.759999399999998
2018-10-26 14,27.977498999999998
2018-10-26 15,29.6639994
2018-10-26 16,32.2079994
2018-10-26 17,37.12249975
2018-10-26 18,45.7579994
2018-10-26 19,50.52399820000001
2018-10-26 20,50.555999
2018-10-26 21,49.60999975
2018-10-26 22,52.11599799999999
2018-10-26 23,43.411998600000004
2018-10-27 00,39.57999925
2018-10-27 01,32.8560002
2018-10-27 02,27.921999
2018-10-27 03,29.5939994
2018-10-27 04,39.24499925
2018-10-27 05,46.3999984
2018-10-27 06,48.937999000000005
2018-10-27 07,48.574999000000005
2018-10-27 08,50.309999999999995
2018-10-27 09,49.075998600000005
2018-10-27 10,44.727998400000004
2018-10-27 11,42.63499825
2018-10-27 12,36.6999992
2018-10-27 13,38.571999399999996
2018-10-27 14,38.522499
2018-10-27 15,32.8999994
2018-10-27 16,29.427999399999997
2018-10-27 17,27.0659992
2018-10-27 18,35.13749850000001
2018-10-27 19,46.653998599999994
2018-10-27 20,51.407999399999994
2018-10-27 21,49.744998
2018-10-27 22,43.2779992
2018-10-27 23,39.1779992
2018-10-28 01,32.832221
2018-10-28 02,29.679999599999995
2018-10-28 03,28.7819992
2018-10-28 04,37.122499000000005
2018-10-28 05,52.0979996
2018-10-28 06,59.537999
2018-10-28 07,60.025997800000006
2018-10-28 08,51.25499825
2018-10-28 09,47.051998
2018-10-28 10,52.1619996
2018-10-28 11,52.40249925
2018-10-28 12,46.781998200000004
2018-10-28 13,33.759999199999996
2018-10-28 14,31.6079994
2018-10-28 15,25.9424995
2018-10-28 16,28.189999
2018-10-28 17,34.12999860000001
2018-10-28 18,41.4899985
2018-10-28 19,66.065999
2018-10-28 20,73.911998
2018-10-28 21,87.8439988
2018-10-28 22,89.01666533333332
2018-10-28 23,77.01799919999999
2018-10-29 00,64.351999
2018-10-29 01,51.017499
2018-10-29 02,46.47599939999999
2018-10-29 03,40.035999399999994
2018-10-29 04,46.529998
2018-10-29 05,69.23999975
2018-10-29 06,75.08799860000002
2018-10-29 07,108.85399619999998
2018-10-29 08,102.0999965
2018-10-29 09,98.9699984
2018-10-29 10,97.24599760000001
2018-10-29 11,90.1099976
2018-10-29 12,58.04249975
2018-10-29 13,53.66599900000001
2018-10-29 14,46.3980006
2018-10-29 15,49.147499249999996
2018-10-29 16,54.9759978
2018-10-29 17,59.025997800000006
2018-10-29 18,56.33799799999999
2018-10-29 19,59.7699985
2018-10-29 20,66.195999
2018-10-29 21,63.5259988
2018-10-29 22,64.31749875
2018-10-29 23,56.3679978
2018-10-30 00,54.3999992
2018-10-30 01,51.73399959999999
2018-10-30 02,42.442500249999995
2018-10-30 03,39.683999799999995
2018-10-30 04,42.7599982
2018-10-30 05,59.64749925
2018-10-30 06,77.89999999999999
2018-10-30 07,78.5259978
2018-10-30 08,68.72799979999999
2018-10-30 09,65.24249925
2018-10-30 10,60.471998600000006
2018-10-30 11,55.5539992
2018-10-30 12,61.544999
2018-10-30 13,59.5959982
2018-10-30 14,53.579999599999994
2018-10-30 15,43.6659996
2018-10-30 16,44.647498999999996
2018-10-30 17,54.763999
2018-10-30 18,61.761999200000005
2018-10-30 19,59.70999825
2018-10-30 20,53.559999000000005
2018-10-30 21,45.847999
2018-10-30 22,40.3399996
2018-10-30 23,34.38999925
2018-10-31 00,31.0159986
2018-10-31 01,26.7899994
2018-10-31 02,25.229999
2018-10-31 03,26.241999600000003
2018-10-31 04,27.7679994
2018-10-31 05,31.550000333333333
2018-10-31 06,49.2139992
2018-10-31 07,49.44499875
2018-10-31 08,92.08599699999999
2018-10-31 09,42.7919982
2018-10-31 10,38.49999975
2018-10-31 11,39.7999992
